NAME	description	GSdetails	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
REELIN SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REELIN SIGNALING PATHWAY	REELIN SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REELIN SIGNALING PATHWAY	Details	27	0.589481666286605	1.61790291546016	0.00860046911649726	0.0449609331172102	0	14462	MAPK8IP1,CDK5,RELN,MAP1B,AKT1,MAPT,FYN,CDK5R1,PAFAH1B1,GSK3B,RAPGEF1,NCK2,MAPK8,PIK3R1,PIK3CA,DAB1,RAP1A,ARHGEF2,LRPAP1
ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	Details	46	0.53290759535347	1.63905873167779	0.00529500756429652	0.0328212098834816	0	14704	BACE1,MAPK10,CACNA1C,MAPK11,MAPK4,APBA1,KLC4,KLC2,PRKCE,APBA2,KLC1,MAPK3,CACNB1,PRKCZ,MAPK8,KAT5,MAPK12,MAPK1,MAPK15,PRKCG,PKN1,PRKCA,PRKCB,CACNB2
ENKEPHALIN RELEASE%PANTHER PATHWAY%P05913	ENKEPHALIN RELEASE%PANTHER PATHWAY%P05913	Details	31	0.57645191824363	1.63183598790315	0.00928792569659443	0.04763856006799	0	14640	PRKACA,GNB3,GNG3,GNB1,GNG2,GNB2,GNAO1,PRKAR2A,GNG7,PRKACB,GNG4,GNAL,GNAI1,PRKAR2B,PDYN,GNB5
GABA-B_RECEPTOR_II_SIGNALING%PANTHER PATHWAY%P05731	GABA-B_RECEPTOR_II_SIGNALING%PANTHER PATHWAY%P05731	Details	32	0.666974907963532	1.90975349028363	0.000772797527047913	0.0217364207960557	0	14640	PRKACA,ADCY6,ADCY5,GNB3,GNG3,GNB1,KCNJ3,CACNA1A,GNB2,GNAO1,CACNA1G,GABBR2,PRKAR2A,PRKAR1B,GABBR1,GNG7,PRKACB,ADCY9,GNG4,GNAI1,CACNA1B,PRKAR1A,PRKAR2B
HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GI ALPHA AND GS ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00026	HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GI ALPHA AND GS ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00026	Details	99	0.475550949807381	1.6456095233429	0.0013531799729364	0.0217364207960557	0	14640	PRKACA,CREB3,ADCY6,ADCY5,OPRL1,GNG3,GNB1,CLTB,GNG2,GRM1,KCNJ3,CREB5,GRM3,CREBBP,ADORA1,GRM7,GNB2,GRM5,KCNJ9,PYGB,GSK3B,CALM1,GSK3A,PRKAR2A,PRKAR1B,GNG7,PHKB,KCNJ5,PRKACB,ADCY9,CHRM4,GPR50,GNG4,GNAL,GNAI1,SSTR2,GRM8,GRM2,DRD2,PRKAR1A,PRKAR2B,HTR1E,SSTR1,HTR2C,RAP1A
METABOTROPIC GLUTAMATE RECEPTOR GROUP II PATHWAY%PANTHER PATHWAY%P00040	METABOTROPIC GLUTAMATE RECEPTOR GROUP II PATHWAY%PANTHER PATHWAY%P00040	Details	40	0.557066390341318	1.66084249873113	0.00384024577572965	0.0275217613927291	0	14640	PRKACA,VAMP2,SNAP29,SNAP25,GNB3,STX1B,GNG3,GNB1,STX1A,GRM3,CACNA1A,CACNB1,CACNA1E,GNB2,GNAO1,PRKAR2A,PRKAR1B,GNG7,PRKACB,GNG4,GNAI1,CACNA1B,GRM2,PRKAR1A,PRKAR2B,GNB5
METABOTROPIC GLUTAMATE RECEPTOR GROUP I PATHWAY%PANTHER PATHWAY%P00041	METABOTROPIC GLUTAMATE RECEPTOR GROUP I PATHWAY%PANTHER PATHWAY%P00041	Details	20	0.648563325416557	1.65493449898397	0.00719424460431655	0.0393770423939837	0	14640	PRKACA,GRINA,GRIK5,GRM1,GNA11,GRM5,PRKAR1B,GRIN3A,PRKACB,GRIN1,PRKAR1A,PRKCB,GRIK1,PLCB4,GNAQ
MUSCARINIC ACETYLCHOLINE RECEPTOR 2 AND 4 SIGNALING PATHWAY%PANTHER PATHWAY%P00043	MUSCARINIC ACETYLCHOLINE RECEPTOR 2 AND 4 SIGNALING PATHWAY%PANTHER PATHWAY%P00043	Details	33	0.616138722473969	1.78346987675454	0.0015420200462606	0.0217364207960557	0	14640	PRKACA,GNB3,GNG3,GNB1,KCNJ3,GNB2,KCNJ9,GNAO1,PRKAR2A,PRKAR1B,GNG7,KCNJ5,PRKACB,CHRM4,GNG4,GNAI1,PRKAR1A,PRKAR2B,GNB5
SYNAPTIC_VESICLE_TRAFFICKING%PANTHER PATHWAY%P05734	SYNAPTIC_VESICLE_TRAFFICKING%PANTHER PATHWAY%P05734	Details	19	0.661449026269289	1.67263015026928	0.00631412786108919	0.0369088405138901	0	14715	SYT11,SNAP25,STX1B,SYT5,RAB3A,RIMS1,STX1A,STXBP1,SYT1,SYT3,STX2,SYT7
ACTIVATION OF GABAB RECEPTORS%REACTOME DATABASE ID RELEASE 65%991365	ACTIVATION OF GABAB RECEPTORS%REACTOME DATABASE ID RELEASE 65%991365	Details	35	0.587836581806269	1.72295736521807	0.00383141762452107	0.0274898741105638	0	14513	ADCY6,ADCY5,GNB3,GNG3,GNB1,GNG2,KCNJ3,GNB2,KCNJ9,GABBR2,GABBR1,GNG7,KCNJ5,KCNJ4,ADCY9,GNG4,GNAL,GNAI1,GNB5,KCNJ2,ADCY1
